club,ground,lat,lon,state
Adelaide,Adelaide Oval,-34.91558,138.59619,SA
Brisbane,The Gabba,-27.486099,153.03743,QLD
Carlton,Marvel Stadium,-37.81639,144.9475,VIC
Collingwood,Melbourne Cricket Ground,-37.819954,144.983398,VIC
Essendon,Marvel Stadium,-37.81639,144.9475,VIC
Fremantle,Optus Stadium,-31.95111,115.88917,WA
Geelong,GMHBA Stadium (Kardinia Park),-38.15806,144.35472,VIC
Gold Coast,Heritage Bank Stadium (Carrara),-28.0038,153.366997,QLD
GWS,Sydney Showground Stadium (Engie/Giants Stadium),-33.84306,151.06778,NSW
Hawthorn,Melbourne Cricket Ground,-37.819954,144.983398,VIC
Melbourne,Melbourne Cricket Ground,-37.819954,144.983398,VIC
North Melbourne,Marvel Stadium,-37.81639,144.9475,VIC
Port Adelaide,Adelaide Oval,-34.91558,138.59619,SA
Richmond,Melbourne Cricket Ground,-37.819954,144.983398,VIC
St Kilda,Marvel Stadium,-37.81639,144.9475,VIC
Sydney,Sydney Cricket Ground,-33.891525,151.224121,NSW
West Coast,Optus Stadium,-31.95111,115.88917,WA
Western Bulldogs,Marvel Stadium,-37.81639,144.9475,VIC
